Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity
367031,3,1/2/2016,1/7/2016,909014,0,1722,3
367031,4,1/2/2016,1/7/2016,909014,0,132,1
368000,1,1/3/2016,,892838,32,1440,1
368001,1,1/3/2016,,1670789,64,1598,3
369000,1,1/4/2016,,1143828,37,2167,9
369000,2,1/4/2016,,1143828,37,167,1
369001,1,1/4/2016,,269337,8,1301,1
369001,2,1/4/2016,,269337,8,1649,4
369002,1,1/4/2016,,258316,8,1656,1
369004,1,1/4/2016,,1389462,65,1961,5
369004,2,1/4/2016,,1389462,65,1991,3
369005,1,1/4/2016,,1866637,56,183,3
369006,1,1/4/2016,,734605,28,654,1
369007,1,1/4/2016,,571622,20,2510,3
369007,2,1/4/2016,,571622,20,2103,1
369007,3,1/4/2016,,571622,20,1578,3
369011,1,1/4/2016,1/9/2016,1664824,0,1261,2
369012,1,1/4/2016,1/13/2016,1696695,0,1423,3
369012,2,1/4/2016,1/13/2016,1696695,0,1656,1
369012,3,1/4/2016,1/13/2016,1696695,0,1660,2
369012,4,1/4/2016,1/13/2016,1696695,0,1610,6
370000,1,1/5/2016,,2032025,51,1360,4
370000,2,1/5/2016,,2032025,51,1158,4
370000,3,1/5/2016,,2032025,51,457,2
370001,1,1/5/2016,,1884908,61,1107,3
370001,2,1/5/2016,,1884908,61,1591,3
370001,3,1/5/2016,,1884908,61,1544,7
370003,1,1/5/2016,,2092033,66,836,8
370003,2,1/5/2016,,2092033,66,1529,3
370004,1,1/5/2016,,1473090,43,1251,2
370005,1,1/5/2016,,584095,24,1610,2
370005,2,1/5/2016,,584095,24,1594,4
370006,1,1/5/2016,,661636,16,1272,6
370007,1,1/5/2016,,623659,15,267,1
370007,2,1/5/2016,,623659,15,126,7
370008,1,1/5/2016,,183264,4,2105,1
370010,1,1/5/2016,,1393738,48,1709,3
370010,2,1/5/2016,,1393738,48,2113,10
370010,3,1/5/2016,,1393738,48,2088,2
370011,1,1/5/2016,,1522590,47,32,2
370012,1,1/5/2016,,1780669,53,1585,3
370012,2,1/5/2016,,1780669,53,1689,2
370013,1,1/5/2016,,5097,6,5,2
370014,1,1/5/2016,,1475886,51,1622,2
370014,2,1/5/2016,,1475886,51,2110,1
370014,3,1/5/2016,,1475886,51,1694,2
371000,1,1/6/2016,,728834,30,81,2
371001,1,1/6/2016,,76021,2,77,3
371001,2,1/6/2016,,76021,2,945,2
371001,3,1/6/2016,,76021,2,1033,1
371001,4,1/6/2016,,76021,2,1581,5
371002,1,1/6/2016,,1955971,53,80,4
371002,2,1/6/2016,,1955971,53,2171,3
371003,1,1/6/2016,,778259,28,1074,6
371003,2,1/6/2016,,778259,28,127,2
371003,3,1/6/2016,,778259,28,333,5
371003,4,1/6/2016,,778259,28,1627,4
371003,5,1/6/2016,,778259,28,64,1
371003,6,1/6/2016,,778259,28,1997,3
371004,1,1/6/2016,1/14/2016,1378439,0,1305,8
371005,1,1/6/2016,,1923558,48,58,1
371005,2,1/6/2016,,1923558,48,32,7
371006,1,1/6/2016,1/15/2016,1501383,0,1279,1
371007,1,1/6/2016,1/18/2016,1378439,0,1639,1
371008,1,1/6/2016,,2053617,50,961,1
371008,2,1/6/2016,,2053617,50,1626,7
371010,1,1/6/2016,,1716584,53,2491,5
371010,2,1/6/2016,,1716584,53,1631,7
371011,1,1/6/2016,1/14/2016,776266,0,458,5
371011,2,1/6/2016,1/14/2016,776266,0,1573,3
371011,3,1/6/2016,1/14/2016,776266,0,32,5
371012,1,1/6/2016,,363872,8,147,1
371012,2,1/6/2016,,363872,8,1576,1
371012,3,1/6/2016,,363872,8,1642,3
371014,1,1/6/2016,,1161615,40,89,4
371014,2,1/6/2016,,1161615,40,337,3
371015,1,1/6/2016,1/14/2016,1669745,0,1679,5
371015,2,1/6/2016,1/14/2016,1669745,0,1659,1
371015,3,1/6/2016,1/14/2016,1669745,0,1228,1
371015,4,1/6/2016,1/14/2016,1669745,0,1458,4
371016,1,1/6/2016,,879778,32,1704,2
371017,1,1/6/2016,,1918687,61,2084,5
371017,2,1/6/2016,,1918687,61,2365,1
371018,1,1/6/2016,,1041466,36,534,1
371018,2,1/6/2016,,1041466,36,1667,7
371018,3,1/6/2016,,1041466,36,1212,7
371018,4,1/6/2016,,1041466,36,2496,1
371018,5,1/6/2016,,1041466,36,1200,2
371018,6,1/6/2016,,1041466,36,1333,2
371018,7,1/6/2016,,1041466,36,2124,1
371019,1,1/6/2016,,916074,41,2506,2
371019,2,1/6/2016,,916074,41,1590,1
371019,3,1/6/2016,,916074,41,1615,2
371019,4,1/6/2016,,916074,41,2093,2
372000,1,1/7/2016,1/22/2016,1413890,0,148,3
372000,2,1/7/2016,1/22/2016,1413890,0,1620,1
372000,3,1/7/2016,1/22/2016,1413890,0,825,3
372001,1,1/7/2016,,1412534,63,1286,1
372001,2,1/7/2016,,1412534,63,1669,3
372002,1,1/7/2016,,1718240,47,1299,7
372003,1,1/7/2016,,527409,19,1604,3
372003,2,1/7/2016,,527409,19,141,4
372003,3,1/7/2016,,527409,19,83,2
372004,1,1/7/2016,,711449,30,922,9
372005,1,1/7/2016,,302130,9,411,3
372005,2,1/7/2016,,302130,9,75,4
372005,3,1/7/2016,,302130,9,1620,3
372005,4,1/7/2016,,302130,9,2366,5
372005,5,1/7/2016,,302130,9,1652,8
372005,6,1/7/2016,,302130,9,1614,8
372006,1,1/7/2016,1/15/2016,2095742,0,125,2
372007,1,1/7/2016,,1982994,61,1148,4
372008,1,1/7/2016,,1214363,53,183,1
372008,3,1/7/2016,,1214363,53,1665,1
372010,1,1/7/2016,,784075,29,90,7
372011,1,1/7/2016,,739625,29,1572,1
372012,1,1/7/2016,,195521,6,468,1
372012,2,1/7/2016,,195521,6,1560,6
372012,3,1/7/2016,,195521,6,1094,2
372012,4,1/7/2016,,195521,6,171,4
372012,5,1/7/2016,,195521,6,2265,2
372013,1,1/7/2016,,1042966,38,1259,2
372016,1,1/7/2016,,1170323,42,1581,2
372016,2,1/7/2016,,1170323,42,6,3
373000,1,1/8/2016,1/14/2016,1367439,0,2509,3
373000,2,1/8/2016,1/14/2016,1367439,0,716,3
373002,1,1/8/2016,,1750554,48,1859,5
373003,1,1/8/2016,,2082534,56,67,3
373004,1,1/8/2016,,460587,24,1765,3
373005,1,1/8/2016,,1763365,65,342,2
373005,2,1/8/2016,,1763365,65,1073,1
373007,1,1/8/2016,1/14/2016,351747,0,103,2
373007,2,1/8/2016,1/14/2016,351747,0,1455,5
373007,3,1/8/2016,1/14/2016,351747,0,1902,2
373008,1,1/8/2016,,536845,23,535,3
373008,2,1/8/2016,,536845,23,2089,3
373008,3,1/8/2016,,536845,23,1612,3
373008,4,1/8/2016,,536845,23,65,2
373009,1,1/8/2016,1/19/2016,1064519,0,1589,4
373010,1,1/8/2016,,538801,27,2492,6
373010,2,1/8/2016,,538801,27,2288,8
373010,3,1/8/2016,,538801,27,56,2
373011,1,1/8/2016,,82415,4,440,2
374000,1,1/9/2016,,1971983,48,737,5
374000,2,1/9/2016,,1971983,48,1735,3
374000,3,1/9/2016,,1971983,48,103,3
374000,5,1/9/2016,,1971983,48,81,2
374000,6,1/9/2016,,1971983,48,1624,1
374001,1,1/9/2016,,2050933,47,1429,1
374001,2,1/9/2016,,2050933,47,545,1
374002,1,1/9/2016,,320030,8,1991,8
374002,2,1/9/2016,,320030,8,1667,8
374002,3,1/9/2016,,320030,8,2098,3
374002,4,1/9/2016,,320030,8,1695,1
374003,1,1/9/2016,,1188400,38,1606,1
374005,1,1/9/2016,,239647,8,1197,2
374006,1,1/9/2016,,1387959,65,1622,6
374007,1,1/9/2016,,800548,31,1631,3
374008,1,1/9/2016,,789641,29,1217,4
374009,1,1/9/2016,,728541,30,538,3
374010,1,1/9/2016,,665776,12,1632,3
374010,2,1/9/2016,,665776,12,1048,1
374010,3,1/9/2016,,665776,12,1681,7
374010,4,1/9/2016,,665776,12,2104,4
374010,5,1/9/2016,,665776,12,1673,2
374010,6,1/9/2016,,665776,12,1206,2
374010,7,1/9/2016,,665776,12,961,5
374011,1,1/9/2016,,174622,5,1256,8
374012,1,1/9/2016,1/20/2016,1758208,0,1280,1
374012,2,1/9/2016,1/20/2016,1758208,0,1276,1
374012,3,1/9/2016,1/20/2016,1758208,0,2454,5
374012,4,1/9/2016,1/20/2016,1758208,0,2108,1
374013,1,1/9/2016,,733080,29,533,5
374013,2,1/9/2016,,733080,29,1067,10
374013,3,1/9/2016,,733080,29,1577,6
374015,1,1/9/2016,,1451748,55,107,7
374016,1,1/9/2016,,1535357,45,9,5
374017,1,1/9/2016,,1558964,63,1630,1
374018,1,1/9/2016,,1010049,38,1615,5
374018,2,1/9/2016,,1010049,38,2075,2
374019,1,1/9/2016,,193216,6,1109,3
375000,1,1/10/2016,1/18/2016,1084570,0,1636,1
375000,2,1/10/2016,1/18/2016,1084570,0,88,7
375000,3,1/10/2016,1/18/2016,1084570,0,2515,1
376000,1,1/11/2016,,1862500,43,69,1
376001,1,1/11/2016,,813685,32,131,1
376001,2,1/11/2016,,813685,32,1604,1
376003,1,1/11/2016,,797322,30,425,3
376003,2,1/11/2016,,797322,30,2112,4
376003,3,1/11/2016,,797322,30,1297,1
376003,4,1/11/2016,,797322,30,1806,2
376004,1,1/11/2016,,1905050,45,1635,6
376005,1,1/11/2016,,305321,8,1352,3
376005,2,1/11/2016,,305321,8,2114,3
376005,3,1/11/2016,,305321,8,418,2
376005,4,1/11/2016,,305321,8,2096,3
377000,1,1/12/2016,,1589958,64,1625,6
377000,2,1/12/2016,,1589958,64,1730,4
377000,3,1/12/2016,,1589958,64,681,2
377000,4,1/12/2016,,1589958,64,1675,7
377000,5,1/12/2016,,1589958,64,422,2
377002,1,1/12/2016,,1897822,50,1612,1
377002,2,1/12/2016,,1897822,50,858,1
377002,3,1/12/2016,,1897822,50,1595,2
377003,1,1/12/2016,,1129200,40,1942,6
377004,1,1/12/2016,,1136143,42,460,4
377004,2,1/12/2016,,1136143,42,740,3
377005,1,1/12/2016,,1022980,37,1634,1
377006,1,1/12/2016,1/20/2016,934781,0,1432,1
377006,2,1/12/2016,1/20/2016,934781,0,1580,1
377006,3,1/12/2016,1/20/2016,934781,0,1462,1
377006,4,1/12/2016,1/20/2016,934781,0,1936,1
377006,5,1/12/2016,1/20/2016,934781,0,1007,1
377006,6,1/12/2016,1/20/2016,934781,0,320,1
377007,1,1/12/2016,,86126,6,1665,1
377007,2,1/12/2016,,86126,6,446,3
377007,3,1/12/2016,,86126,6,1176,4
378000,1,1/13/2016,,1062632,37,170,1
378000,2,1/13/2016,,1062632,37,1646,10
378000,3,1/13/2016,,1062632,37,1572,1
378001,1,1/13/2016,,1976355,66,2467,3
378001,2,1/13/2016,,1976355,66,1696,2
378002,1,1/13/2016,,1599716,45,1578,1
378002,2,1/13/2016,,1599716,45,1304,1
378003,1,1/13/2016,,774742,29,1609,1
378003,2,1/13/2016,,774742,29,2128,8
378003,3,1/13/2016,,774742,29,1649,5
378004,1,1/13/2016,,368190,8,2504,1
378004,2,1/13/2016,,368190,8,1646,7
378005,1,1/13/2016,,1470803,44,137,9
378005,2,1/13/2016,,1470803,44,2090,2
378005,3,1/13/2016,,1470803,44,2068,2
378005,4,1/13/2016,,1470803,44,125,4
378005,5,1/13/2016,,1470803,44,137,3
378005,6,1/13/2016,,1470803,44,376,1
378005,7,1/13/2016,,1470803,44,178,5
378006,1,1/13/2016,,917347,38,1266,7
378006,2,1/13/2016,,917347,38,1621,2
378007,1,1/13/2016,,707089,30,1582,1
378007,2,1/13/2016,,707089,30,1634,6
378007,3,1/13/2016,,707089,30,424,4
378008,1,1/13/2016,,1035789,39,1619,2
378009,1,1/13/2016,,270736,8,336,3
378009,2,1/13/2016,,270736,8,2383,1
378009,3,1/13/2016,,270736,8,2248,5
378010,1,1/13/2016,,437389,19,145,3
378010,2,1/13/2016,,437389,19,2387,7
379000,1,1/14/2016,,1171088,39,443,4
379001,1,1/14/2016,,1165542,40,1253,1
379001,2,1/14/2016,,1165542,40,1695,8
379001,3,1/14/2016,,1165542,40,1038,8
379001,4,1/14/2016,,1165542,40,1597,1
379001,5,1/14/2016,,1165542,40,1589,2
379001,6,1/14/2016,,1165542,40,1182,5
379002,1,1/14/2016,1/24/2016,716015,0,106,2
379002,2,1/14/2016,1/24/2016,716015,0,386,2
379002,3,1/14/2016,1/24/2016,716015,0,1654,3
379004,1,1/14/2016,1/27/2016,245912,0,321,2
379005,1,1/14/2016,,1104029,37,1766,4
379005,2,1/14/2016,,1104029,37,1558,3
379005,3,1/14/2016,,1104029,37,1969,3
379005,4,1/14/2016,,1104029,37,1453,4
379008,1,1/14/2016,,793968,30,76,3
379008,2,1/14/2016,,793968,30,1648,1
379009,1,1/14/2016,,1556602,61,375,4
379009,2,1/14/2016,,1556602,61,651,3
379011,1,1/14/2016,,1291414,48,1280,3
379011,2,1/14/2016,,1291414,48,1292,1
379011,3,1/14/2016,,1291414,48,1620,4
380000,1,1/15/2016,,1614172,57,1676,3
380000,2,1/15/2016,,1614172,57,2094,5
380001,1,1/15/2016,,1530756,66,641,3
380001,2,1/15/2016,,1530756,66,1069,3
380001,3,1/15/2016,,1530756,66,1687,3
380003,1,1/15/2016,,627789,17,172,3
380004,1,1/15/2016,,1909649,66,1114,1
380004,2,1/15/2016,,1909649,66,272,1
380004,3,1/15/2016,,1909649,66,1697,2
380005,1,1/15/2016,,770856,30,1705,2
380005,2,1/15/2016,,770856,30,154,7
380006,1,1/15/2016,,549983,27,1969,7
381001,1,1/16/2016,,780974,29,2397,3
381001,2,1/16/2016,,780974,29,2398,1
381002,1,1/16/2016,1/26/2016,2042097,0,1283,1
381002,2,1/16/2016,1/26/2016,2042097,0,1345,1
381002,3,1/16/2016,1/26/2016,2042097,0,2510,2
381003,1,1/16/2016,,1631876,61,1619,6
381003,2,1/16/2016,,1631876,61,2079,1
381004,1,1/16/2016,,1914255,53,960,2
381004,2,1/16/2016,,1914255,53,143,4
381005,1,1/16/2016,,1803346,50,1946,10
381006,1,1/16/2016,,1364334,64,1029,1
381007,1,1/16/2016,,1202659,48,1246,1
381007,2,1/16/2016,,1202659,48,97,2
381007,3,1/16/2016,,1202659,48,1590,6
381007,4,1/16/2016,,1202659,48,1779,7
381008,1,1/16/2016,,982850,42,1707,2
381009,1,1/16/2016,,1187611,42,2086,4
381010,1,1/16/2016,,1554137,66,1671,3
381010,2,1/16/2016,,1554137,66,1604,1
381010,3,1/16/2016,,1554137,66,1836,1
381011,1,1/16/2016,,1302333,45,450,1
381012,1,1/16/2016,1/23/2016,2072376,0,1759,2
381012,2,1/16/2016,1/23/2016,2072376,0,1684,7
381013,1,1/16/2016,1/21/2016,1984685,0,1583,1
381013,2,1/16/2016,1/21/2016,1984685,0,584,8
383000,1,1/18/2016,,1768548,51,1623,3
383001,1,1/18/2016,,1584109,61,994,1
383002,1,1/18/2016,,1650783,57,1145,1
383002,2,1/18/2016,,1650783,57,75,2
383002,3,1/18/2016,,1650783,57,775,1
383003,1,1/18/2016,,568160,19,959,3
383004,1,1/18/2016,,1670107,59,1248,3
383004,2,1/18/2016,,1670107,59,2500,1
383004,3,1/18/2016,,1670107,59,185,3
384000,1,1/19/2016,,622740,17,144,5
384000,2,1/19/2016,,622740,17,78,4
384000,4,1/19/2016,,622740,17,1825,1
384001,1,1/19/2016,,780674,29,301,2
384001,2,1/19/2016,,780674,29,1695,2
384002,1,1/19/2016,,1263974,43,61,2
384002,2,1/19/2016,,1263974,43,2105,1
384003,1,1/19/2016,,1369624,64,420,4
384004,1,1/19/2016,1/28/2016,1316297,0,1150,2
384004,2,1/19/2016,1/28/2016,1316297,0,1578,6
384005,1,1/19/2016,,1022895,37,1597,4
384006,1,1/19/2016,,247132,9,752,1
384006,2,1/19/2016,,247132,9,434,1
384006,3,1/19/2016,,247132,9,124,8
384006,4,1/19/2016,,247132,9,2382,1
384007,1,1/19/2016,,14180,6,494,3
384007,2,1/19/2016,,14180,6,1633,2
385000,1,1/20/2016,1/25/2016,1110691,0,1586,8
385000,2,1/20/2016,1/25/2016,1110691,0,1427,5
385000,3,1/20/2016,1/25/2016,1110691,0,166,3
385002,1,1/20/2016,,844832,31,424,2
385002,2,1/20/2016,,844832,31,53,2
385003,1,1/20/2016,,624165,18,1928,3
385004,1,1/20/2016,,332332,8,2162,1
385005,1,1/20/2016,,1251726,57,2120,3
385006,1,1/20/2016,,724534,28,135,4
385006,2,1/20/2016,,724534,28,1155,1
385007,1,1/20/2016,,1273837,61,1112,8
385008,1,1/20/2016,,667318,16,1195,1
385009,1,1/20/2016,,1720050,61,6,1
385009,3,1/20/2016,,1720050,61,123,5
385010,1,1/20/2016,,483118,20,61,6
385010,2,1/20/2016,,483118,20,1000,3
386000,1,1/21/2016,,748749,30,443,2
386000,2,1/21/2016,,748749,30,434,2
386000,3,1/21/2016,,748749,30,167,1
386000,4,1/21/2016,,748749,30,516,1
386001,1,1/21/2016,1/30/2016,1912666,0,1996,2
386001,2,1/21/2016,1/30/2016,1912666,0,1577,1
386002,1,1/21/2016,,1525000,43,581,3
386003,1,1/21/2016,,265825,8,1646,1
386004,1,1/21/2016,,2085055,45,1222,3
386005,1,1/21/2016,2/2/2016,345812,0,1600,1
386005,2,1/21/2016,2/2/2016,345812,0,237,1
386006,1,1/21/2016,,348548,10,1271,2
386006,2,1/21/2016,,348548,10,1585,1
386006,3,1/21/2016,,348548,10,1637,3
386006,4,1/21/2016,,348548,10,1587,1
386006,5,1/21/2016,,348548,10,423,1
386008,1,1/21/2016,,2093929,56,313,2
386008,2,1/21/2016,,2093929,56,124,7
386008,3,1/21/2016,,2093929,56,1634,3
386008,4,1/21/2016,,2093929,56,448,4
386009,1,1/21/2016,,522652,19,1859,4
386009,2,1/21/2016,,522652,19,156,3
386009,3,1/21/2016,,522652,19,1896,1
386009,4,1/21/2016,,522652,19,2107,3
386010,1,1/21/2016,,1775819,57,155,6
386010,2,1/21/2016,,1775819,57,1638,1
386010,3,1/21/2016,,1775819,57,1947,3
386010,4,1/21/2016,,1775819,57,125,1
386011,1,1/21/2016,1/28/2016,541598,0,54,6
386011,2,1/21/2016,1/28/2016,541598,0,101,2
386011,3,1/21/2016,1/28/2016,541598,0,461,3
387000,1,1/22/2016,1/26/2016,224434,0,1729,2
387000,2,1/22/2016,1/26/2016,224434,0,1599,3
387000,3,1/22/2016,1/26/2016,224434,0,1622,1
387000,4,1/22/2016,1/26/2016,224434,0,55,6
387001,1,1/22/2016,,2011796,51,39,5
387002,1,1/22/2016,,1368025,44,429,2
387002,2,1/22/2016,,1368025,44,1377,6
387003,1,1/22/2016,,368610,8,144,5
387003,2,1/22/2016,,368610,8,1251,2
387003,3,1/22/2016,,368610,8,691,1
387003,4,1/22/2016,,368610,8,190,1
387003,5,1/22/2016,,368610,8,1656,2
387003,6,1/22/2016,,368610,8,1425,4
387003,7,1/22/2016,,368610,8,143,9
387004,1,1/22/2016,,1307296,53,709,6
387004,2,1/22/2016,,1307296,53,962,1
387005,1,1/22/2016,,938399,36,1816,3
387005,2,1/22/2016,,938399,36,982,2
387005,3,1/22/2016,,938399,36,442,1
387006,1,1/22/2016,,1616350,51,1576,1
387007,1,1/22/2016,,549936,24,1264,2
387007,2,1/22/2016,,549936,24,1529,3
387007,3,1/22/2016,,549936,24,1612,4
388000,1,1/23/2016,,97611,5,928,6
388000,2,1/23/2016,,97611,5,1045,7
388000,3,1/23/2016,,97611,5,1627,6
388001,1,1/23/2016,1/27/2016,1730210,0,1616,1
388002,1,1/23/2016,,962533,36,460,2
388002,2,1/23/2016,,962533,36,489,2
388003,1,1/23/2016,,205077,10,90,8
388003,2,1/23/2016,,205077,10,945,1
388004,1,1/23/2016,1/31/2016,776431,0,2104,1
388004,2,1/23/2016,1/31/2016,776431,0,618,3
388005,1,1/23/2016,,1893487,55,1601,4
388005,2,1/23/2016,,1893487,55,2388,9
388006,1,1/23/2016,,1098143,41,1393,3
388006,2,1/23/2016,,1098143,41,1627,2
388006,3,1/23/2016,,1098143,41,133,1
388007,1,1/23/2016,,1112613,42,459,4
388008,1,1/23/2016,,1170323,41,640,6
388008,2,1/23/2016,,1170323,41,1665,2
388008,3,1/23/2016,,1170323,41,665,2
388008,4,1/23/2016,,1170323,41,158,1
388008,5,1/23/2016,,1170323,41,96,3
388009,1,1/23/2016,,930705,40,1585,3
388010,1,1/23/2016,,1001228,39,827,4
388010,2,1/23/2016,,1001228,39,1139,1
388011,1,1/23/2016,,1702898,61,454,5
388011,2,1/23/2016,,1702898,61,50,1
388011,3,1/23/2016,,1702898,61,1653,2
388011,4,1/23/2016,,1702898,61,2094,1
388011,5,1/23/2016,,1702898,61,1692,3
388011,6,1/23/2016,,1702898,61,2106,7
388011,7,1/23/2016,,1702898,61,1211,2
388012,1,1/23/2016,,2086544,50,2113,1
388012,2,1/23/2016,,2086544,50,69,2
388013,1,1/23/2016,1/30/2016,1559552,0,1657,1
388014,1,1/23/2016,,1671541,57,1586,1
388014,2,1/23/2016,,1671541,57,1786,4
388014,3,1/23/2016,,1671541,57,2501,4
390000,1,1/25/2016,,1699570,59,1581,1
390000,2,1/25/2016,,1699570,59,2351,2
390001,1,1/25/2016,,1301552,51,189,2
390001,2,1/25/2016,,1301552,51,1617,7
390001,3,1/25/2016,,1301552,51,175,2
390001,4,1/25/2016,,1301552,51,186,2
390001,6,1/25/2016,,1301552,51,1605,1
390002,1,1/25/2016,2/6/2016,2029518,0,537,3
390002,2,1/25/2016,2/6/2016,2029518,0,1636,2
390002,3,1/25/2016,2/6/2016,2029518,0,1581,1
390002,4,1/25/2016,2/6/2016,2029518,0,1792,2
390002,5,1/25/2016,2/6/2016,2029518,0,458,1
390003,1,1/25/2016,,253233,10,1635,1
390004,1,1/25/2016,,1321513,48,152,2
390005,1,1/25/2016,,549766,22,1558,3
390005,2,1/25/2016,,549766,22,1594,1
391000,1,1/26/2016,,881876,32,2108,1
391000,2,1/26/2016,,881876,32,143,1
391000,3,1/26/2016,,881876,32,1662,2
391001,1,1/26/2016,2/2/2016,361945,0,1841,1
391002,1,1/26/2016,,1201225,45,1636,1
391002,2,1/26/2016,,1201225,45,1325,1
391003,1,1/26/2016,,1427869,44,1370,1
391003,2,1/26/2016,,1427869,44,1280,6
391004,1,1/26/2016,,444160,19,1588,3
391004,2,1/26/2016,,444160,19,69,6
391006,1,1/26/2016,,1885990,51,1467,1
391006,2,1/26/2016,,1885990,51,1590,2
391007,1,1/26/2016,,125950,6,1705,1
391007,2,1/26/2016,,125950,6,138,1
392000,1,1/27/2016,,1302998,51,1613,3
392000,2,1/27/2016,,1302998,51,1490,1
392001,1,1/27/2016,,1227891,54,155,2
392002,1,1/27/2016,,1855347,59,430,2
392002,2,1/27/2016,,1855347,59,1168,1
392002,3,1/27/2016,,1855347,59,144,2
392002,4,1/27/2016,,1855347,59,2298,2
392003,1,1/27/2016,2/4/2016,1471397,0,156,8
392004,1,1/27/2016,2/1/2016,401785,0,2118,3
392004,2,1/27/2016,2/1/2016,401785,0,1441,2
